player	pos	team	owner
Carlos Marmol	ChC	RP	FA
Casey Janssen	Tor	RP	FA
Ernesto Frieri	LAA	RP	FA
Wade Miley	Ari	SP	FA
Ryan Dempster	Bos	SP	I Have AIDs
Matt Harrison	Tex	SP	FA
Clay Buchholz	Bos	SP	FA
Shaun Marcum	NYM	SP	FA
Andy Pettitte	NYY	SP	FA
Jason Hammel	Bal	SP	FA
Jose Veras	Hou	RP	FA
Jonathan Broxton	Cin	RP	FA
Jaime Garcia	StL	SP	FA
Kyuji Fujikawa	ChC	RP	FA
Ryan Madson	LAA	RP	FA
Wei-Yin Chen	Bal	SP	FA
Vinnie Pestano	Cle	RP	FA
Wandy Rodriguez	Pit	SP	FA
Chris Tillman	Bal	SP	FA
Tommy Milone	Oak	SP	FA
Kyle Lohse	StL	SP	FA
Bruce Rondon	Det	RP	FA
James McDonald	Pit	SP	FA
Shelby Miller	StL	RP	FA
Daniel Straily	Oak	SP	FA
Hisashi Iwakuma	Sea	SP,RP	FA
Johan Santana	NYM	SP	FA
Ricky Romero	Tor	SP	FA
Mike Fiers	Mil	SP	FA
Tommy Hanson	LAA	SP	FA
Sergio Santos	Tor	RP	FA
A.J. Griffin	Oak	SP	FA
Julio Teheran	Atl	SP	FA
Dillon Gee	NYM	SP	FA
Trevor Bauer	Cle	SP	FA
Al Alburquerque	Det	RP	FA
Hyun-Jin Ryu	LAD	SP	FA
Jake McGee	TB	RP	FA
Luke Gregerson	SD	RP	FA
Andrew Cashner	SD	SP,RP	FA
Wei-Yin Chen	Bal	SP	FA
Vinnie Pestano	Cle	RP	FA
Wandy Rodriguez	Pit	SP	FA
Chris Tillman	Bal	SP	FA
Tommy Milone	Oak	SP	FA
Kyle Lohse	StL	SP	FA
Bruce Rondon	Det	RP	FA
James McDonald	Pit	SP	FA
Shelby Miller	StL	RP	FA
Daniel Straily	Oak	SP	FA
Hisashi Iwakuma	Sea	SP,RP	FA
Johan Santana	NYM	SP	FA
Ricky Romero	Tor	SP	FA
Mike Fiers	Mil	SP	FA
Tommy Hanson	LAA	SP	FA
Sergio Santos	Tor	RP	FA
